Date,Title,Link
25/10/2022,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric",https://www.unair.ac.id/kontribusi-terhadap-keberlanjutan-lingkungan-unair-raih-4-trees-rating-dari-ui-greenmetric/
26/10/2022,FK UNAIR Sambut 31 PPDS Program Hybrid TNI,https://www.unair.ac.id/fk-unair-sambut-31-ppds-program-hybrid-tni/
26/10/2022,Dekan FH UNAIR: Pendidikan Hukum Harus Berubah Agar Dapat Mencetak Pemimpin Masa Depan,https://www.unair.ac.id/dekan-fh-unair-pendidikan-hukum-harus-berubah-agar-dapat-mencetak-pemimpin-masa-depan/
26/10/2022,"Jalani Hidup Sehat, Ini Yang Perlu Disiapkan ",https://www.unair.ac.id/jalani-hidup-sehat-ini-yang-perlu-disiapkan/
25/10/2022,"5 Mahasiswa UNAIR Ikuti Student Exchange dan Konferensi di Thailand, Malaysia, dan Singapura",https://www.unair.ac.id/5-mahasiswa-unair-ikuti-student-exchange-dan-konferensi-di-thailand-malaysia-dan-singapura/
25/10/2022,Departemen Komunikasi UNAIR Gelar Kuliah Tamu Kesehatan Mental Remaja,https://www.unair.ac.id/departemen-komunikasi-unair-gelar-kuliah-tamu-kesehatan-mental-remaja/
25/10/2022,Waspadai Resistensi Antibiotik Saat Sakit,https://www.unair.ac.id/waspadai-resistensi-antibiotik-saat-sakit/
25/10/2022,"Dosen Toksikologi UNAIR Paparkan Toksisitas Etilen Glikol, Senyawa Kimia yang Diduga Penyebab Gagal Ginjal Akut pada Anak",https://www.unair.ac.id/dosen-toksikologi-unair-paparkan-toksisitas-etilen-glikol-senyawa-kimia-yang-diduga-penyebab-gagal-ginjal-akut-pada-anak/
21/10/2022,Dosen UNAIR Dorong Percepatan Kastrasi Jantan untuk Tekan Populasi Kucing Liar,https://www.unair.ac.id/dosen-unair-dorong-percepatan-kastrasi-jantan-untuk-tekan-populasi-kucing-liar/
23/09/2022,Dua Mahasiswa Perikanan UNAIR Ikuti Summer School di Hiroshima University,https://www.unair.ac.id/dua-mahasiswa-perikanan-unair-ikuti-summer-school-di-hiroshima-university/
15/08/2022,"Sambut Pertukaran Mahasiswa, Rektor UNAIR: Pulang Harus Jadi Orang Hebat",https://www.unair.ac.id/sambut-pertukaran-mahasiswa-rektor-unair-pulang-harus-jadi-orang-hebat/
25/10/2022,"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara",https://www.unair.ac.id/mawapres-fk-unair-sebulan-borong-4-gelar-juara/
24/10/2022,Mahasiswa Ilmu Sejarah UNAIR Dinobatkan sebagai Putri Pariwisata Kalimantan Timur 2022,https://www.unair.ac.id/mahasiswa-ilmu-sejarah-unair-dinobatkan-sebagai-putri-pariwisata-kalimantan-timur-2022/
18/10/2022,Kajian Sejarah Pers Indonesia Bawa Mahasiswa FIB Sabet Juara 3 LKTIN di UI,https://www.unair.ac.id/kajian-sejarah-pers-indonesia-bawa-mahasiswa-fib-sabet-juara-3-lktin-di-ui/
31/08/2022,Mahasiswa Farmasi UNAIR Cetuskan Ide Pengobatan Kanker Payudara Berbasis Daun Pepaya,https://www.unair.ac.id/mahasiswa-farmasi-unair-cetuskan-ide-pengobatan-kanker-payudara-berbasis-daun-pepaya/
24/08/2022,Inovasi Dosen FPK UNAIR Manfaatkan Limbah PT. Ajinomoto Sebagai Pakan Ikan,https://www.unair.ac.id/inovasi-dosen-fpk-unair-manfaatkan-limbah-pt-ajinomoto-sebagai-pakan-ikan/
31/12/2021,Peneliti FKM UNAIR Kembangkan Formula Fermentasi Bawang untuk Lansia Pasca Vaksinasi,https://www.unair.ac.id/peneliti-fkm-unair-kembangkan-formula-fermentasi-bawang-untuk-lansia-pasca-vaksinasi/
16/09/2022,Ketua KPK Kunjungi UNAIR,https://www.unair.ac.id/ketua-kpk-kunjungi-unair/
08/09/2022,UNAIR Terima Kunjungan Dubes Pakistan,https://www.unair.ac.id/unair-terima-kunjungan-dubes-pakistan/
02/09/2022,MoU UNAIR-Pemkab Banyuwangi Perkuat Kerjasama Bidang Pendidikan,https://www.unair.ac.id/mou-unair-pemkab-banyuwangi-perkuat-kerjasama-bidang-pendidikan/
26/10/2022,Efek Penggunaan Chlorhexidine dan Povidone-Iodine Terhadap viral load SARS-CoV-2,https://www.unair.ac.id/efek-penggunaan-chlorhexidine-dan-povidone-iodine-terhadap-viral-load-sars-cov-2/
26/10/2022,Scaffold Nanofiber Berbasis Polylacticacid-Polycaprolactone Untuk Cedera Anterior Cruciate Ligament,https://www.unair.ac.id/scaffold-nanofiber-berbasis-polylacticacid-polycaprolactone-untuk-cedera-anterior-cruciate-ligament/
26/10/2022,Autograf Tulang Rawan dalam Penanganan Kasus Ameloblastoma Pasca Hemi-mandibulektomi,https://www.unair.ac.id/autograf-tulang-rawan-dalam-penanganan-kasus-ameloblastoma-pasca-hemi-mandibulektomi/
25/10/2022,E-Radio Announcer Competition 2022,https://www.unair.ac.id/post_fetcher/fakultas-ekonomi-bisnis-7747-e-radio-announcer-competition-2022/
25/10/2022,SEGTA Fall Program 2022,https://www.unair.ac.id/post_fetcher/fakultas-teknologi-maju-multidisiplin-segta-fall-program-2022/
25/10/2022,Tiga Dosen FTMM dan Tim IMERCY ungkap Potensi Besar Energi Hijau di Kawasan Pantai Bomo,https://www.unair.ac.id/post_fetcher/fakultas-teknologi-maju-multidisiplin-gandeng-tiga-dosen-pembimbing-imercy-lakukan-riset-potensi-ebt-di-kawasan-pantai-bomo/
25/10/2022,"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara",https://www.unair.ac.id/mawapres-fk-unair-sebulan-borong-4-gelar-juara/
18/10/2022,Kajian Sejarah Pers Indonesia Bawa Mahasiswa FIB Sabet Juara 3 LKTIN di UI,https://www.unair.ac.id/kajian-sejarah-pers-indonesia-bawa-mahasiswa-fib-sabet-juara-3-lktin-di-ui/
18/10/2022,"Gelisah Penggunaan Plastik di Kereta Api, Mahasiswa UNAIR Temukan Gerakan Anti Plastik",https://www.unair.ac.id/gelisah-penggunaan-plastik-di-kereta-api-mahasiswa-unair-temukan-gerakan-anti-plastik/
27/09/2022,Gowes Bareng Gubernur dan Alumni UNAIR Ramaikan World Heart Day,https://www.unair.ac.id/gowes-bareng-gubernur-dan-alumni-unair-ramaikan-world-heart-day/
25/09/2022,Khofifah Resmi Mulai Semarak Peringatan HUT EMAS IKA UNAIR,https://www.unair.ac.id/khofifah-resmi-mulai-semarak-peringatan-hut-emas-ika-unair/
20/09/2022,Alumni UNAIR Siap Luncurkan Aplikasi untuk Petani Walet,https://www.unair.ac.id/alumni-unair-siap-luncurkan-aplikasi-untuk-petani-walet/
27/09/2022,Manfaat Asam Folat Untuk Meningkatkan Produktivitas Dan Kesehatan Unggas,https://www.unair.ac.id/manfaat-asam-folat-untuk-meningkatkan-produktivitas-dan-kesehatan-unggas/
19/10/2022,"Bangun SDM Masyarakat Timor Leste, Sekolah Pascasarjana UNAIR Ikuti Program Indonesia Education Fair 2022",https://www.unair.ac.id/bangun-sdm-masyarakat-timor-leste-sekolah-pascasarjana-unair-gelar-program-indonesia-education-fair-2022/
27/09/2022,Strategi Pengembangan Anti Depresan dengan Target Mikroglia,https://www.unair.ac.id/strategi-pengembangan-anti-depresan-dengan-target-mikroglia/
13/10/2022,Defek Ventilasi Restriksi pada Tuberkulosis Paru,https://www.unair.ac.id/defek-ventilasi-restriksi-pada-tuberkulosis-paru/
17/10/2022,"G20, Hegemoni, dan Spirit Tak Berpuas Diri",https://www.unair.ac.id/g20-hegemoni-dan-spirit-tak-berpuas-diri/
01/10/2022,Aktivitas Campuran Mikroalga Polisakarida Asal Indonesia Sebagai Anti Malaria In Vitro,https://www.unair.ac.id/aktivitas-campuran-mikroalga-polisakarida-asal-indonesia-sebagai-anti-malaria-in-vitro/
27/09/2022,MYMA FH UNAIR Beri Tips dan Trik Jadi Mahasiswa Hukum Berprestasi,https://www.unair.ac.id/myma-fh-unair-beri-tips-dan-trik-jadi-mahasiswa-hukum-berprestasi/
14/10/2022,Semarak Pendekar 2022 Dorong Prestasi dan Inovasi Maba FST UNAIR,https://www.unair.ac.id/semarak-pendekar-2022-dorong-prestasi-dan-inovasi-maba-fst-unair/
25/10/2022,Waspadai Gangguan Ginjal Akut pada Anak,https://www.unair.ac.id/waspadai-gangguan-ginjal-akut-pada-anak/
30/09/2022,Satgas PPKS UNAIR Ikuti Bimtek Penanganan Kekerasan Seksual Kemdikbud-Ristek RI,https://www.unair.ac.id/satgas-ppks-unair-ikuti-bimtek-penanganan-kekerasan-seksual-kemdikbud-ristek-ri/
21/10/2022,Efektifitas Tetes Mata Natrium Hyaluronate untuk Mengatasi Mata Kering karena Computer Vision Syndrome pada Mahasiswa,https://www.unair.ac.id/efektifitas-tetes-mata-natrium-hyaluronate-untuk-mengatasi-mata-kering-karena-computer-vision-syndrome-pada-mahasiswa/
27/09/2022,Efektivitas Anti Bakteri Obat Saluran Akar Kalsium Hidroksida-Iodofor dan Kalsium Hidroksida-Barium Sulfida,https://www.unair.ac.id/efektivitas-anti-bakteri-obat-saluran-akar-kalsium-hidroksida-iodofor-dan-kalsium-hidroksida-barium-sulfida/
